"","Name.of.the.College","State","Institutional.CGPA","Grade","Accreditation.valid.up.to"
"502","Tolani Education Society, Mumbai, Tolani College of Commerce, Mumbai – 400093 (Third Cycle","Maharashtra","3.03","A","2021-11-04"
"503","Tribal Education Society’s Arts, Commerce and Science Mahila Mahavidyalaya, Nandurbar – 425412 (Second Cycle)","Maharashtra","2.51","B+","2021-11-04"
"504","Tuljaram Chaturchand College of Arts, Science and Commerce, Baramati, Pune – 413102 (Third Cycle)","Maharashtra","3.55","A+","2022-02-21"
"505","Tulsi Bahuudeshiya Shikshan Sanstha, Tumsar's Arts and Commerce Degree College, Bhandara, Nagpur – 441906 (Second Cycle)","Maharashtra","1.61","C","2021-09-15"
"506","Tulsiramji Gaikwad-Patil College of Engineering and Technology, Nagpur – 441108 (First Cycle)","Maharashtra","2.35","B","2021-09-15"
"507","Vai Dhunda Maharaj Deglurkar Mahavidyalaya, Degloor, Nanded – 431717 (First Cycle","Maharashtra","2.36","B","2022-01-22"
"508","Vasundhara College, Ghatnandur, Ambajogai, Beed – 431519 (First Cycle)","Maharashtra","2.47","B","2022-02-21"
"509","Vidya Prasarak Mandal's Arts, Commerce and Science College, Kinhavali, Shahapur, Kalyan, Thane – 421403 (First Cycle)","Maharashtra","2.05","B","2022-01-22"
"510","Vidya Pratishthan’s Vasantrao Pawar Law College, Vidyanagari, Baramati – 413133 (First Cycle)","Maharashtra","2.81","B++","2022-01-22"
"511","Vidya Vikas Mandal's Yashawantrao Chavan Mahavidyalaya, Karmala, Solapur – 413203 (Second Cycle)  ","Maharashtra","2.54","B+","2021-09-15"
"512","Vidyabharti College, Seloo, Wardha – 442104 (First Cycle) ","Maharashtra","2.56","B+","2022-03-27"
"513","Vidyavardhini's Annasaheb Vartak College of Arts, Kedarnath Malhotra College of Commerce and E. S. Andrades College of Science, Palghar – 401202 (Second Cycle)","Maharashtra","2.83","B++","2021-11-04"
"514","Vishwakarma College of Arts, Commerce and Science, Kondhwa Budruk, Pune – 411048 (First Cycle)","Maharashtra","2.52","B+","2022-02-21"
"515","VPM's K. G. Joshi College of Arts and N. G. Bedekar College of Commerce, Thane – 400601 (Third Cycle)","Maharashtra","3.1","A","2021-11-04"
"516","Women's Education Society's Lady Amritbai Daga College for Women of Arts, Commerce and Science and Smt. Ratnidevi Purohit College of Home Science and Home Science Technology, Nagpur – 440010 (Third Cycle)","Maharashtra","3.1","A","2021-11-04"
"517","Yashavantrao Chavan Institute of Science, Satara – 415001 (Third Cycle","Maharashtra","3.57","A+","2023-11-04"
"518","Yashoda Girls' Arts and Commerce College, Sneh Nagar, Nagpur – 440015 (First Cycle)","Maharashtra","2.82","B++","2022-05-01"
"519","Yashwantrao Chavan School of Social Work, Satara – 415002 (First Cycle)","Maharashtra","2.78","B++","2021-11-04"
"520","Yashwantrao Chavan Warana Mahavidyalaya, Warananagar, Panhala, Kolhapur – 416113 (Third Cycle) ","Maharashtra","3.01","A","2022-03-27"
"521","Yeshwantrao Chavan College of Engineering, Nagpur – 441110
 (First Cycle)
","Maharashtra","3.25","A","2021-09-15"
"522","Yugantar Education Society's Tirpude College of Social Work, Civil Lines, Sadar, Nagpur – 440001 (Third Cycle)","Maharashtra","3.51","A+","2024-05-01"
"523","Dr. Babasaheb Ambedkar Mahavidyalaya, Kavha Naka, Latur – 413512 
(First Cycle)
","Maharashtra","1.82","C","2022-10-29"
"524","Chhatrapati Shivaji Mahavidyalaya, Kalamb, Osmanabad – 413507 
(First Cycle)
","Maharashtra","1.89","C","2022-10-29"
"525","Veerbhadra Education Society’s Mahatma Jyotiba Phule Mahavidyalaya, Mukhed, Nanded – 431715 
(Second Cycle)
","Maharashtra","2.02","B","2022-10-29"
"526","Lokmanya Tilak Mahavidyalaya, Wadwani, Manjlegaon, Beed – 431122 
(First Cycle)
","Maharashtra","2.03","B","2022-10-29"
"527","Rashtrapita Mahatma Gandhi Arts and Science College, Nagbhid, Chandrapur – 441205 
(First Cycle)
","Maharashtra","2.03","B","2022-10-29"
"528","Dnyandeep College (Science and Commerce), Morvande-Boraj, Khed, Ratnagiri – 415709 
(First Cycle)
","Maharashtra","2.04","B","2022-10-29"
"529","Shri Sant Gadge Maharaj Mahavidyalaya, Loha, Nanded – 431708 
(First Cycle)
","Maharashtra","2.05","B","2022-10-29"
"530","Indira Institute of Pharmacy, Sadavali, Sangameshwar, Ratnagiri – 415804 
(First Cycle)
","Maharashtra","2.09","B","2022-10-29"
"531","J. T. Mahajan College of Engineering, Faizpur, Yawal, Jalgaon – 425524 
(First Cycle)
","Maharashtra","2.09","B","2022-10-29"
"532","Kamaladevi College of Arts and Commerce, Vitthalwadi, Kalyan East – 421305 
(First Cycle)
","Maharashtra","2.1","B","2022-10-29"
"533","Vidarbha Institute of Technology, Bhiwapur, Nagpur – 441209 
(First Cycle)
","Maharashtra","2.1","B","2022-10-29"
"534","Sharadchandra Arts, Commerce and Science College, Naigaon, Nanded – 431709 
(Second Cycle)
","Maharashtra","2.11","B","2022-10-29"
"535","Athawale College of Social Work, 
Bhandara – 441904
(Third Cycle)
","Maharashtra","2.11","B","2022-10-29"
"536","Shushikshan Prasarak Mandal, Pinjar Bhausaheb Lahane Dnyanprakash Arts College, Barshitakli, Pinjar, Akola – 444407 
(Third Cycle)
","Maharashtra","2.11","B","2022-10-29"
"537","Sarvodaya Mahavidyalaya, Sindewahi, Chandrapur – 441222 
(First Cycle)
","Maharashtra","2.12","B","2022-10-29"
"538","B. S. P. Sanstha's Swa Sawarkar Mahavidyalaya, Beed – 431122 
 (Second Cycle)
","Maharashtra","2.12","B","2022-10-29"
"539","Satpuda Shikshan Prasarak Mandal's Vasantrao Naik Arts, Science and Commerce College, Shahada, Nandurbar – 425409 
(Second Cycle)
","Maharashtra","2.13","B","2022-10-29"
"540","Karmayogi Tulshiram Pawar Mahavidyalaya, Hadolti, Ahmedpur, Latur – 413515 
(First Cycle)
","Maharashtra","2.15","B","2022-10-29"
"541","Dr. Sau. Kamaltai Gawai Institute of Engineering and Technology, Darapur, Daryapur,
 Amravati – 444814 
(First Cycle)
","Maharashtra","2.17","B","2022-10-29"
"542","Late Vasantrao Kolhatkar Arts College, Rohana, Arvi, Wardha – 442302 
(First Cycle)
","Maharashtra","2.19","B","2022-10-29"
"543","PSGVP Mandal's D. N. Patel College of Engineering, Shahada, Nandurbar – 425409 
(First Cycle)
","Maharashtra","2.2","B","2022-10-29"
"544","Maratha Vidya Prasarak Samaj’s Arts and Commerce College, Taharabad, Baglan,
 Nashik – 423302 
(First Cycle)
","Maharashtra","2.23","B","2022-10-29"
"545","Shivnagar Vidya Prasarak Mandal’s College of Engineering, Malegaon, Baramati, 
Pune – 413115 
(First Cycle)
","Maharashtra","2.23","B","2022-10-29"
"546","Belapur Education Society’s Arts and Commerce College, Belapur, Shrirampur, 
Ahmednagar – 413715
(First Cycle)
","Maharashtra","2.24","B","2022-10-29"
"547","Varvand Gram Shikshan Sanstha’s Eknath Sitaram Divekar Arts, Science and Commerce College, Varvand, Daund, Pune – 412215 
(Second Cycle)
","Maharashtra","2.25","B","2022-10-29"
"548","Adarsh Institute of Technology and Research Centre, Khanapur, Vita, Sangli – 415311 
(First Cycle)
","Maharashtra","2.28","B","2022-10-29"
"549","Saraswati Mandir Sanstha's Saraswati Mandir Night College of Commerce and Arts, Pune – 411002 
(Second Cycle)
","Maharashtra","2.28","B","2022-10-29"
"550","Women's College of Arts and Commerce, Nagpur – 440009 
(Second Cycle
","Maharashtra","2.29","B","2022-10-29"
"551","Dattakala Group of Institutions, Swami Chincholi, Daund, Pune – 413130
(First Cycle)
","Maharashtra","2.31","B","2022-10-29"
"552","Shri Narayanrao Babasaheb Education Society's Shri Venkatesh Mahavidyalaya, Ichalkaranji, Kolhapur – 416115 
(Third Cycle)
","Maharashtra","2.31","B","2022-10-29"
"553","Pillai HOC College of Arts, Science and Commerce, Rasayani, Khalapur, Raigad, 
Panvel – 410207 
(First Cycle)
","Maharashtra","2.34","B","2022-10-29"
"554","Late Babasaheb Varhade Education Society, Amravati's Mahatma Jyotiba Fule Arts, Commerce and Science College, Bhatkuli, Amravati – 444601
(Second Cycle)
","Maharashtra","2.36","B","2022-10-29"
"555","Fule-Ambedkar College of Social Work, Gadchiroli – 442605 
(First Cycle)
","Maharashtra","2.39","B","2022-10-29"
"556","Late Pushpadevi Patil Arts and Science College, Risod, Washim – 444506 
(First Cycle)
","Maharashtra","2.39","B","2022-10-29"
"557","St. John Institute of Pharmacy and Research, Palghar – 401404 
(First Cycle)
","Maharashtra","2.4","B","2022-10-29"
"558","Shri Jagadamba Vinkar Shikshan Sanstha's Jagadamba Mahavidyalaya, Mehrabpura, Achalpur, Amravati – 444806 
(Second Cycle)
","Maharashtra","2.42","B","2022-10-29"
"559","Jai Bhagwan Sevabhavi Sanstha's Late Shankarrao Gutte Gramin Arts, Commerce and Science College, Dharmapuri, Parli,
 Beed – 431515 
(First Cycle)
","Maharashtra","2.43","B","2022-10-29"
"560","Tapaswi Public Charitable Trust, Yeoti’s Venkatesh Mahajan Senior College, Osmanabad – 413501 
(Second Cycle)
","Maharashtra","2.45","B","2022-10-29"
"561","Shri Tulshiramji Jadhao Arts and Science College, Lakhala, Washim – 444505 (First Cycle)","Maharashtra","2.47","B","2022-10-29"
"562","Sharadrao Pawar Arts and Commerce College, Gadchandur – 442908 
(First Cycle)
","Maharashtra","2.48","B","2022-10-29"
"563","Shree Ramchandra College of Engineering, Wagholi, Pune – 412216 
(First Cycle)
","Maharashtra","2.48","B","2022-10-29"
"564","Adv. Ramkrishnaji Rathi Law College,
 Washim – 444505 
(First Cycle)
","Maharashtra","2.49","B","2022-10-29"
"565","DES Shri Navalmal Firodia Law College, Pune – 411004 
(First Cycle)
","Maharashtra","2.51","B+","2022-10-29"
"566","Rajarshee Shahu Science College, 
Amravati – 444904
(First Cycle)
","Maharashtra","2.51","B+","2022-10-29"
"567","Manjara Charitable Trust’s Smt. Sushiladevi Deshmukh Mahila Mahavidyalaya, Latur – 413531
(Second Cycle)
","Maharashtra","2.51","B+","2022-10-29"
"568","Arts, Commerce College, Yeoda, Daryapur, Amravati – 444706 
(First Cycle)
","Maharashtra","2.52","B+","2022-10-29"
"569","Chandrabhan Sharma College of Arts, Science and Commerce, Powai, Mumbai – 400076 
(First Cycle)
","Maharashtra","2.52","B+","2022-10-29"
"570","Kalyani Charitable Trusts Ravindra Gambhirrao Sapkal College of Pharmacy, Nashik – 422213 
(First Cycle)
","Maharashtra","2.52","B+","2022-10-29"
"571","Shri Gopinath Mahadeo Vedak Pratishthan’s G. M. Vedak College of Science, Nandadeep, Tala, Raigad – 402111 
(First Cycle)
","Maharashtra","2.52","B+","2022-10-29"
"572","Hutatma Rashtriya College of Arts and Science, Ashti, Wardha – 442202 
(Second Cycle)
","Maharashtra","2.52","B+","2022-10-29"
"573","V. P. S. P. M. S. Arts, Commerce and Science College, Kannad, Aurangabad – 431103 
(First Cycle)
","Maharashtra","2.53","B+","2022-10-29"
"574","G. B. Tatha Tatyasaheb Khare Commerce, Parvatibai Gurupad Dhere Arts and Shri Mahesh Janardhan Bhosale Science College, Guhagar, 
Ratnagiri – 415703 
(Third Cycle)
","Maharashtra","2.53","B+","2022-10-29"
"575","Pune District Education Association’s College of Engineering, Manjari (Bk), Pune – 412307 
(First Cycle)
","Maharashtra","2.54","B+","2022-10-29"
"576","The Bhusawal People's Charitable Sanstha's Dadasaheb Devidas Namdeo Bhole College, Bhusawal, Jalgaon – 425201 
(Second Cycle)
","Maharashtra","2.54","B+","2022-10-29"
"577","Arts and Science College, Shivajinagar, Gadhi, Georai, Beed – 431143 
(First Cycle)
","Maharashtra","2.55","B+","2022-10-29"
"578","Datta Meghe College of Engineering, Sector 3, Airoli, Navi Mumbai – 400708 
(First Cycle)
","Maharashtra","2.55","B+","2022-10-29"
"579","Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongari, Nagpur – 441110 
(First Cycle)
","Maharashtra","2.55","B+","2022-10-29"
"580","Amdar Shasikant Shinde Mahavidyalaya, Medha, Jawali, Satara – 415012 
(Second Cycle)
","Maharashtra","2.55","B+","2022-10-29"
"581","Vivekanand Dnyanpeeth (Covent) Warora's Vivekanand Mahavidyalaya, Bhadrawati, Chandrapur – 442902 
(Third Cycle)
","Maharashtra","2.55","B+","2022-10-29"
"582","Shanti Education Society's A. G. Patil Institute of Technology, Solapur – 413008 
(First Cycle)
","Maharashtra","2.56","B+","2022-10-29"
"583","Maratha Vidya Prasarak Samaj, Nashik Arts, Science and Commerce College, Niphad, Saikheda, Nashik – 422210 
(Second Cycle)
","Maharashtra","2.56","B+","2022-10-29"
"584","The Berar General Education Society, Akola's Kisanlal Nathmal Arts and Commerce College, Karanja Lad, Washim – 444105 
(Third Cycle)
","Maharashtra","2.56","B+","2022-10-29"
"585","Baliram Patil Arts, Commerce and Science College, Kinwat, Nanded – 431804 
(Second Cycle)
","Maharashtra","2.57","B+","2022-10-29"
"586","Savithribai Phule Shikshan Prasarak Mandal’s Loknete Gopinathji Munde Arts, Commerce and Science College, Madangad, Ratnagiri – 415203 
(Third Cycle)
","Maharashtra","2.57","B+","2022-10-29"
"587","Shri Shankarrao Bezalwar Arts and Commerce College, Gadchiroli, Chandrapur – 442705 
(Second Cycle)
","Maharashtra","2.59","B+","2022-10-29"
"588","ATSS College of Business Studies and Computer Applications, Chinchwad, Pune – 411019
(First Cycle)
","Maharashtra","2.6","B+","2022-10-29"
"589","Shurparaka Educational and Medical Trust’s M. B. Harris College of Arts and A. E. Kalsekar College  of Commerce and Management, Nallasopara, Vasai, Palghar – 401203 
(First Cycle)
","Maharashtra","2.6","B+","2022-10-29"
"590","Loknete Ma, Hanmantrao Patil Charitable Trust’s Adarsh College, Vita, Sangli – 415311 
 (Second Cycle)
","Maharashtra","2.6","B+","2022-10-29"
"591","Shri Shivaji Mofat Education Society’s Shri Shivaji College of Arts, Commerce and Science, Kandhar, Waghala, Nanded – 431714 
(Second Cycle)
","Maharashtra","2.61","B+","2022-10-29"
"592","Jayawantrao Sawant College of Engineering, Hadapsar, Pune – 411028 
(First Cycle)
","Maharashtra","2.62","B+","2022-10-29"
"593","Mahatma Gandhi Vidyamandir's Arts and Commerce College, Yevla, Nashik – 423401 
(Second Cycle)
","Maharashtra","2.62","B+","2022-10-29"
"594","Vidarbha Youth Welfare Society's College of Social Work, Badnera, Amravati – 444602 
(Second Cycle)
","Maharashtra","2.62","B+","2022-10-29"
"595","Sahakar Maharshi Shankarrao Mohite-Patil Pratishthan Shankarnagar, Akluj Sanchalit, Vijaysinh Mohite-Patil Mahavidyalaya, Malshiras, Natepute, Solapur – 413109 
(Third Cycle)
","Maharashtra","2.62","B+","2022-10-29"
"596","Vidarbha Youth Welfare Society, Amravati's Indirabai Meghe Mahila Mahavidyalaya, Amravati – 444602 
(Second Cycle)
","Maharashtra","2.63","B+","2022-10-29"
"597","Sahyadri Valley College of Engineering, Junnar, Pune – 412411 
(First Cycle)
","Maharashtra","2.64","B+","2022-10-29"
"598","Shri Dnyaneshwar Maskuji Burungale Science College, Shegaon – 444203 
(First Cycle)
","Maharashtra","2.65","B+","2022-10-29"
"599","G. S. Mandal's Marathwada Institute of Technology, Aurangabad – 431010 
(First Cycle)
","Maharashtra","2.68","B+","2022-10-29"
"600","S. N. D. T. College of Arts and S. C. B. College of Commerce and Science for Women, New Marine Lines, Mumbai – 400020 
(First Cycle)
","Maharashtra","2.68","B+","2022-10-29"
"601","Konkan Education Society's Anandibai Pradhan Science College, Roha, Nagothane, Raigad – 402106 
(Third Cycle)
","Maharashtra","2.68","B+","2022-10-29"
"602","Shri Swami Vivekanand Shikshan Sanstha's Kakasaheb Chavan Mahavidyalaya, Talmavale, Patan, Satara – 415103 
(Third Cycle)
","Maharashtra","2.68","B+","2022-10-29"
"603","Swargiya Dadasaheb Kalmegh Smruti Dental College and Hospital, Hingna, Nagpur – 441110 
(Re-visit,First Cycle)
","Maharashtra","2.89","B++","2023-09-25"
"604","Society for Computer Technology and Research (R) Pune Institute of Computer Technology, Dhankawadi, Pune – 411043
(Third Cycle)
","Maharashtra","2.71","B+","2022-10-29"
"605","Nandurbar Taluka Vidhyak Samiti's College of Law, Institute of Legal Education and Research, Nandurbar – 425412 
(Second Cycle)
","Maharashtra","2.72","B+","2022-10-29"
"606","People's Education Society's Dr. Babasaheb Ambedkar College of Arts, Science and Commerce, Mahad, Raigad – 402301
(Second Cycle)
","Maharashtra","2.72","B+","2022-10-29"
"607","Hanuman Vyayam Prasarak Mandal’s College of  Engineering and Technology, Hanuman Vyayam Nagar, Amravati – 444605 
(First Cycle)
","Maharashtra","2.76","B++","2022-10-29"
"608","Dr. Ambedkar College of Arts, Commerce and Science, Deekshabhoomi, Civil Lines, Chandrapur – 442401 
(Second Cycle)
","Maharashtra","2.76","B++","2022-10-29"
"609","Navgan Shikshan Sanstha Rajuri's Padmabhushan Vasantdada Patil College, Patoda, Beed – 414204 
(Third Cycle)
","Maharashtra","2.76","B++","2022-10-29"
"610","Padmashall Shikshan Sanstha's A. R. Burla Mahila Varishtha Mahavidyalaya, Solapur – 413005 
(Third Cycle)
","Maharashtra","2.76","B++","2022-10-29"
"611","Vasantrao Naik Shikshan Prasarak Mandal's Vasantrao Naik Mahavidyalaya, Aurangabad – 431003 
(Third Cycle)
","Maharashtra","2.76","B++","2022-10-29"
"612","MET’s Institute of Engineering, Adgaon, Nashik – 422003
 (First Cycle)
","Maharashtra","2.77","B++","2022-10-29"
"613","Gokhale Education Society's Arts, Commerce and Science College, Jawhar, Palghar – 401603 
(Third Cycle)
","Maharashtra","2.77","B++","2022-10-29"
"614","Rayat Shikshan Sanstha's Yashwantrao Chavan Mahavidyalaya, Pachwad, Wai, Satara – 415513 
(Third Cycle)
","Maharashtra","2.77","B++","2022-10-29"
"615","Shree Chanakya Education Society's Indira College of Pharmacy, Tathawade,
 Pune – 411033 
(First Cycle)
","Maharashtra","2.78","B++","2022-10-29"
"616","Vidarbha Youth Welfare Society, Amravati's Bar. Ramrao Deshmukh Arts, Smt. Indiraji Kapadiya Commerce and Nya. Krushnarao Deshmukh Science College, Badnera, Amravati – 444701 
(Second Cycle)
","Maharashtra","2.78","B++","2022-10-29"
"617","Marathwada Shikshan Prasarak Mandal's Yeshwantrao Chavan Arts, Commerce and Science College, Ambajogai, Beed – 431517 
(Third Cycle)
","Maharashtra","2.79","B++","2022-10-29"
"618","Maharogi Sewa Samiti, Warora's Anand Niketan College of Science, Arts and Commerce, Anandwan, Warora, Chandrapur – 442914 
(Second Cycle)
","Maharashtra","2.8","B++","2022-10-29"
