,Institute Code,Institute Name
318,6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
319,6770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune."
320,6772,"NBN Sinhgad Technical Institutes Campus, Pune"
321,6780,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur."
322,6781,"Bhagwant Institute of Technology, Barshi"
323,6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
324,6786,"Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune"
325,6787,"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy, Ambi"
326,6794,"Anantrao Pawar College of Engineering & Research, Pune"
327,6795,"Shri.Someshwar Shikshan Prasarak Mandals, Someshwar Engineering College, Someshwar Nagar"
328,6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune"
329,6797,"Dnyanshree Institute Engineering and Technology, Satara"
330,6802,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune"
331,6803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj"
332,6808,"Keystone School of Engineering, Pune"
333,6815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala"
334,6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet"
